,OXO-5FI696 Augusta
OXO-5FI635C Augusta,0.7003829225865953
OXO-5FI661A Augusta,0.23117734751667832
OXO-5FIC132 Augusta,0.09872945086168379
OXO-5FIC600 Augusta,0.07822666480630922
OXO-5FIC601 Augusta,0.14064725259257463
OXO-5FIC602 Augusta,0.6185941355239297
OXO-5FIC606C Augusta,0.3146178640444764
OXO-5FIC609B Augusta,-0.2905825220902715
OXO-5FIC611A Augusta,0.31259139688585336
OXO-5FIC612A Augusta,0.30692128335784724
OXO-5FIC612B Augusta,0.6807111028032604
OXO-5FIC618A Augusta,0.28648821079028114
OXO-5FIC618B Augusta,0.4607251000113564
OXO-5FIC618C Augusta,0.4645992162356562
OXO-5FIC618D Augusta,-0.058433377032097035
OXO-5FIC622A Augusta,0.055320320759118045
OXO-5FIC622B Augusta,0.31678148940156065
OXO-5FIC622C Augusta,0.5487982724972761
OXO-5FIC636A Augusta,-0.1254684104054242
OXO-5FIC636B Augusta,-0.19364178929555095
OXO-5FIC636C Augusta,0.8284375531033294
OXO-5FQI691B Augusta,-0.014250388005858023
OXO-5LI633B Augusta,0.16125812365834016
OXO-5LI650F Augusta,-0.19176341918265222
OXO-5LI651E Augusta,0.023933734968791975
OXO-5LI651F Augusta,0.22485986740517278
OXO-5LI652E Augusta,-0.04480552616248687
OXO-5LI653E Augusta,-0.026488691840300577
OXO-5LI653F Augusta,-0.014130004780069219
OXO-5LI654E Augusta,0.013590670336974621
OXO-5LI655F Augusta,0.06827505021988653
OXO-5LI656F Augusta,-0.02029200410968158
OXO-5LI657E Augusta,0.3335619143363723
OXO-5LI657F Augusta,0.24828288754896832
OXO-5LI658E Augusta,-0.3786592852171923
OXO-5LI658F Augusta,0.22385624574964336
OXO-5PIC605A Augusta,0.08179336205946776
OXO-5RIC606_Y Augusta,0.11756151457759575
OXO-5TIC002 Augusta,0.019443305218676012
OXO-5TIC601 Augusta,0.23269935787212964
OXO-5TIC602 Augusta,-0.5461134714485367
OXO-5TIC603 Augusta,-0.544865100129349
OXO-5TIC604 Augusta,-0.4002994118621232
OXO-5TIC605 Augusta,-0.46461664455751633
OXO-5TIC606 Augusta,-0.3878816118998917
OXO-5TIC607 Augusta,-0.3945619692595649
OXO-5TIC659 Augusta,0.0326552998954557
OXO-_5FI658A Augusta,0.26275449135293377
OXO-_5FI659A Augusta,0.23271352940373355
OXO-_5FI660A Augusta,0.25641895215816946
OXO-_5FI662A Augusta,0.2364552066491764
OXO-5FI696 Augusta,1.0
