,TotalCostUSD
Mode,-0.24731612633942424
ProgressType,0.23010122748110928
Type,-0.08665295881932258
LoadingPosition,0.30082872753326634
Plan,0.2226397743106833
ShipmentType,-0.027715956586725442
EquipmentType,0.32077841000880136
EquipmentLength,0.016940979106073076
EquipmentWidth,0.10732721837111903
EquipmentHeight,0.11826619858909336
MinTemp,0.2165882527274405
MaxTemp,0.21659779039265104
TotalValue,0.3090615942070284
Miles,0.5589222389613494
TotalWeight,0.28090064700443274
Tarps,0.06484686211321013
Repeat,0.20431852429905695
NumStops,0.3709700600831836
TotalPallets,-0.014761408280627865
LoadCommodityMasterLinkID,0.023107569612508337
Concealed,0.01706211082389876
Team,0.3207689952827431
Private,0.08863714842679177
Rolled,0.10583976934613203
Hot,-0.06680465234988704
TWIC,0.024075692593482304
TMSPrivateCarrier,0.07257723021771592
HRHV,0.08160096939306488
Seal,0.2501099303280652
OriginFacilityID,-0.16680249824204632
DestinationFacilityID,-0.1711158535224751
OriginCityID,0.07313264565743592
GeneralOriginCityID,0.12574100634230273
DestinationCityID,0.15132349224826855
GeneralDestinationCityID,0.14174958247925631
OriginLatitude,-0.058265719702042286
OriginLongitude,-0.08318267866881392
DestinationLatitude,0.017124258427212758
DestinationLongitude,-0.013211638408570814
TotalRateUSD,0.9634370742276003
NormalizedRank,0.10471092514477702
Normalized_EQ,0.2176646639334401
BizUnit,0.10551707406279784
BookType,0.11751587515414327
BuildType,0.2795762741697385
SalesStatus,0.27537589799617024
IsCommodityStackable,-0.2025211479384405
TimeTravel,0.13601618659165657
TimeNegotiate,0.13494968084086922
LoadDate-Weekday,0.1264652280179825
LoadDate-Month,-0.0496367903212183
LoadDate-Day,0.10667833433854128
DelDate-Weekday,0.09410218538062427
DelDate-Month,-0.14703206322508047
DelDate-Day,-0.0022255624776199856
MXCrossBorder,0.18861452116889277
CACrossBorder,0.1410575089989522
TotalCostUSD,1.0
